1|"Ipomoea obscura (L.) Ker Gawler"
2|"Ipomoea cairica (L.) Sweet"
3|"Stachytarpheta jamaicensis (L.) Vahl"
5|"Salacia chinensis L."
6|"Acrostichum aureum L."
7|"Dischidia major (Vahl) Merr."
9|"Urena lobata L. ssp. lobata"
10|"Ipomoea pes-caprae (L.) R.Br."
11|"Pongamia pinnata (L.) Pierre"
12|"Spilanthes calva DC."
13|"Mimosa pudica L."
15|"Vernonia cinerea (L.) Less."
16|"Barleria tomentosa Roth"
17|"Nelsonia canescens (Lam.) Spreng."
18|"Lumnitzera littorea (Jack) Voigt"
20|"Dracaena spicata Roxb."
21|"Eranthemum capense L."
22|"Launaea sarmentosa (Willd.) Schultz-Bip. ex Kuntze"
25|"Ficus scandens Roxb."
26|"Hernandia nymphaeifolia (C.Presl) Kubitzki"
27|"Flagellaria indica L."
28|"Fagraea morindaefolia Blume"
29|"Goniothalamus macrophyllus (Blume) Hook.f. et Thomson"
30|"Dodonaea viscosa Jacq."
31|"Ceriops tagal (Perr.) C.B.Robins."
32|"Clerodendrum viscosum Vent."
33|"Maranta arundinacea L."
36|"Anaxagorea javanica Blume"
37|"Scaevola koenigii Vahl"
38|"Guettarda speciosa L."
39|"Colubrina asiatica (L.) Brongn."
41|"Syzygium samarangense (Blume) Merr. et Perry"
42|"Hiptage benghalensis (L.) Kurz"
46|"Ascocentrum miniatum (Lindl.) Schltr."
47|"Ascocentrum sp."
49|"Heritiera littoralis Dryander"
50|"Schefflera venulosa (Wight et Arn.) Harms"
55|"Passiflora foetida L."
56|"Streblus asper Lour."
57|"Caesalpinia nuga Aiton"
58|"Barringtonia racemosa (L.) Spreng."
59|"Connarus kingii Schellenb."
60|"Strophanthus wallichii A.DC."
61|"Aglaia ganggo Miq."
65|"Phoenix paludosa Roxb."
66|"Calophyllum spectabile Willd."
68|"Scoparia dulcis L."
69|"Hibiscus tiliaceus L."
75|"Dinochloa andamanica Kurz"
76|"Calamus pseudorivalis Becc."
77|"Derris trifoliata Lour."
78|"Sterculia villosa Roxb."
79|"Bruguiera gymnorrhiza (L.) Lam."
80|"Premna integrifolia L."
81|"Adenia hondala (Gaertn.) de Wilde"
82|"Olax imbricata Roxb."
83|"Ficus sundaica Blume"
84|"Schoenoplectus juncoides (Roxb.) Palla"
85|"Artocarpus chama Buch.-Ham."
86|"Ficus hispida L.f."
87|"Heliotropium indicum L."
88|"Ipomoea illustris Prain"
89|"Desmodium triflorum (L.) DC."
90|"Acanthus ilicifolius L."
91|"Licuala peltata Roxb."
92|"Daemonorops manii Becc."
93|"Caryota mitis Lour."
95|"Raphidophora pertusa (Roxb.) Schott"
96|"Species"
97|"Morinda citrifolia L."
99|"Manilkara littoralis (Kurz) Dubard"
100|"Pothos roxburghii de Vriese"
104|"Memecylon pauciflorum Blume"
105|"Tabernaemontana alternifolia L."
106|"Artabotrys speciosus Kurz ex Hook.f. et Thomson"
107|"Vitis glaberrima Wallich"
109|"Psychotria andamanica Kurz"
111|"Pterocymbium tinctorium (Blanco) Merr. var. javanicum (R.Br.) Kosterm."
