1|"PONDY, SOUTH, ARIYANKUPPAM"
4|"AUROVILLE, ANNAPURNA"
5|"AUROVILLE, ARANYA"
6|"AUROVILLE, AUROBRINDAVAN"
7|"AUROVILLE, AUROGREEN"
8|"AUROVILLE, CENTRE FIELD"
9|"AUROVILLE, CERTITUDE"
10|"AUROVILLE, HERMITAGE"
11|"AUROVILLE, KOTTAKARAI"
13|"AUROVILLE, M. M. G."
14|"AUROVILLE, PITCHANDIKULAM"
15|"AUROVILLE, REVELATION"
16|"AUROVILLE, SANSKRIT SCHOOL"
17|"AUROVILLE, SHAKTI"
18|"AUROVILLE, SUCCESS"
19|"AUROVILLE, TWO BANYANS"
20|"CHENGELPATTU, BYPASS"
21|"CHENGELPATTU, VALLAM R.F."
22|"CHENGELPATTU, VILLIYAMBAKKAM"
24|"PONDY, NORTH, BOMMAYARPALLAYAM"
25|"COASTAL, NORTH, KADAPAKKAM"
26|"MARAKKANAM, KOMMUTICHAVADI"
27|"COASTAL, NORTH, MANDAVAL"
28|"COASTAL, NORTH, OORANI S.G."
29|"COASTAL, NORTH, PANNAIYUR"
30|"COASTAL, SOUTH, KODIAKARAI R.F."
31|"PONDY, NORTH, PUTHUPET S.G."
32|"CUDDALORE, KULANTHAIKUPPAM"
33|"CUDDALORE, SURIYANPET"
34|"CUDDALORE, T.PUTHUPALAYAM"
35|"CUDDALORE, THIRUMANNIKUZHI"
36|"CUDDALORE, VARAKKALPATTU"
37|"CUDDALORE, VILANGALPATTU"
38|"GINGEE, FORT, R.F."
39|"AUROVILLE, IRUMBAI"
40|"JAVADI HILLS, NELLIVASAL"
42|"MARAKKANAM, KODUR"
43|"KOLLIMALAIS"
44|"PONDY, WEST, KASIPALLAYAM"
45|"PONDY, WEST, KONDIMEDU"
46|"PONDY, WEST, PUTTHURAI"
47|"PONDY, WEST, PUTTHURAI LAKE"
48|"PONDY, WEST, TIRUCHITRAMBALAM"
51|"M. ANDAMANS, HAVELOCK, NO. 7"
52|"M. ANDAMANS, INTERVIEW ISLAND"
53|"M. ANDAMANS, LONG ISLAND"
54|"S. ANDAMANS, OUTRAM"
55|"M. ANDAMANS, SOUTH REEF"
56|"MADURANTAKAM, AVIRIMEDU MALAI"
57|"MADURANTAKAM, GUDALUR R.F."
58|"MADURANTAKAM, KANNIMANGALAM"
59|"MADURANTAKAM, KATTUGUDALUR R.F"
60|"MADURANTAKAM, KOLLATTANALLUR"
61|"MADURANTAKAM, MUPANDAL MALAI"
62|"MADURANTAKAM, PASUMBUR"
63|"MADURANTAKAM, PAZHANOOR"
64|"MADURANTAKAM, PUAGUNAM"
65|"MADURANTAKAM, TONNADU MALAI"
66|"MADURANTAKAM, VILANGADU"
67|"MARAKKANAM, KURUMBARAM R.F."
68|"MARAKKANAM, TOTHACHERI R.F."
69|"MARAKKANAM, MUNNUR"
70|"N. ANDAMANS, KARAMATON"
71|"N. ANDAMANS, NORTH REEF"
72|"N. ANDAMANS, WEBI"
73|"PONDY, SOUTH, NAINARMANDALAM"
74|"MARAKKANAM, NESAL"
75|"PONDY, SOUTH, NETTAPAKKAM"
76|"MARAKKANAM, KUMULAMPET R.F."
77|"NILGIRIS, OOTY"
78|"GINGEE, PAKKAMMALAI R.F."
80|"MARAKKANAM, PERUMUKKAL"
82|"PONDY, WEST, USTERI LAKE"
85|"S. ANDAMANS, BELLE ISLAND"
86|"S. ANDAMANS, BOAT ISLAND"
87|"S. ANDAMANS, CHESTER"
88|"S. ANDAMANS, CHIDYATAPU"
89|"S. ANDAMANS, DHANIKARI"
91|"S. ANDAMANS, EAST TWINS"
92|"S. ANDAMANS, GRUB ISLAND"
93|"S. ANDAMANS, GUPTA PARA"
94|"S. ANDAMANS, HUMFREY GUNJ"
95|"S. ANDAMANS, HUMPHRIGUNJ"
96|"S. ANDAMANS, JOLLY BOY"
97|"S. ANDAMANS, LOHABALI"
98|"S. ANDAMANS, MAIMYO"
99|"S. ANDAMANS, MALAY ISLAND"
100|"S. ANDAMANS, MANGLUTAN"
101|"S. ANDAMANS, MT. HARRIET"
102|"S. ANDAMANS, NORTH CINQUE"
103|"S. ANDAMANS, NORTH WANDOOR"
104|"S. ANDAMANS, PATHAR TIKRI"
105|"S. ANDAMANS, PLUTO"
106|"S. ANDAMANS, PORT MOUNT"
107|"S. ANDAMANS, RED SKIN"
108|"S. ANDAMANS, RIFLE MAN ISLAND"
109|"S. ANDAMANS, RUTLAND"
110|"S. ANDAMANS, SCRUB"
111|"S. ANDAMANS, SIPPI GHAT"
112|"S. ANDAMANS, SIPPIGHAT"
113|"S. ANDAMANS, SNOB"
114|"S. ANDAMANS, SOUTH CINQUE"
115|"S. ANDAMANS, SOUTH SENTINEL"
116|"S. ANDAMANS, TARMUGLI"
117|"S. ANDAMANS, WANDOOR"
118|"S. ANDAMANS, WEST TWINS"
121|"SREE NAGESHWARAM"
124|"CHENGELPATTU, THIRUKALIKUNDRAM"
128|"CHENNAI, VALLAM R.F."
129|"VANNIPPETTU"
133|"COASTAL, SOUTH, KUDANKULAM"
134|"PONDY, SOUTH, CHINNAVEERAMPATI"
139|"AUROVILLE, AURO ORCHARD"
140|"MARAKKANAM, OMMIPER S.G."
141|"MARAKKANAM, SEVUR R.F."
142|"MADURANTAKAM, ACHARAPAKKAM"
143|"COASTAL, SOUTH, PICCHAVARAM"
144|"CHIDAMBARAM, VAKKARAMARI"
145|"BELGIUM, MERKSEM"
146|"BELGIUM, KUCHELSCHEID"
147|"BELGIUM, SEA COAST"
148|"GERMANY, KALTERHERBERG"
149|"BELGIUM, HALLE"
150|"BELGIUM, HOVE"
151|"BELGIUM, SCHOTEN"
152|"BELGIUM, BERLAAR"
153|"BELGIUM, EKEREN"
154|"BELGIUM, BRASSCHAAT"
155|"BELGIUM, MASSENHOVEN"
156|"AUROVILLE, M. M. N."
157|"MAHARASHTRA, PUNE"
161|"COASTAL, NORTH, VENANGUPATTU"
162|"AUROVILLE, SAMRIDDHI"
163|"S. ANDAMANS, HENRY LAWRENCE"
164|"N. ANDAMANS, SADDLE PEAK"
165|"CHENNAI, TAMBARAM, M.C.C."
167|"CHENNAI, VANDALUR, ZOO"
168|"COASTAL, NORTH, THENPAKKAM S.G."
170|"PALNI HILLS, KOMBAIKADU"
171|"PALNI HILLS, SOWRIKKADU"
172|"PALNI HILLS, LOWER..."
